SNAME,SCOMNAME,G_RANK,S_RANK,NAME_CATEGORY_DESC,ELCODE,EO_TRACK_STATUS_DESC,HPLIST
Pomoleuctra andersoni,Oregon needlefly,G2,S3,Invertebrate Animal,IIPLE0D010,Track all extant and selected historical EOs,4
Limnanthes alba ssp. gracilis,Slender meadow-foam,G4T3,S3,Vascular Plant,PDLIM02053,Track all extant and selected historical EOs,1
Acipenser medirostris pop. 2,Green sturgeon (Northern DPS),G2T1,S3,Vertebrate Animal,AFCAA01032,Track all extant and selected historical EOs,2
Chloroscypha flavida,Fungus,G3,S3,Fungus,NFFUN2J010,Track all extant and selected historical EOs,3
Pseudocyphellaria hawaiiensis,Gilded specklebelly lichen,G5,S3,Fungus,NLT0032430,Track all extant and selected historical EOs,3
Ramellogammarus similimanus,Stumptown scud,G3,S3,Invertebrate Animal,ICMAL81020,Track all extant and selected historical EOs,1
Rubroboletus pulcherrimus,Red-pored bolete,G3,S3,Fungus,NFSM000016,Track all extant and selected historical EOs,3
Rhizopogon evadens var. subalpinus,Fungus,GUT3,S3,Fungus,NFBOL0B0C1,Track all extant and selected historical EOs,3
Russula chlorineolens,Fungus,G3,S3,Fungus,NFSM000098,Track all extant and selected historical EOs,3
Doellingeria gormanii,Gorman's aster,G3,S3,Vascular Plant,PDASTEC060,Track all extant and selected historical EOs,1
Eriocoma pinetorum,Pine needlegrass,G4,S3,Vascular Plant,PMPOA5X0R0,Track all extant and selected historical EOs,3
Leuconotopicus albolarvatus,White-headed Woodpecker,G4,S3,Vertebrate Animal,ABNYF07070,Track all extant and selected historical EOs,4
Dissingia crassitunicata,Fungus,G3,S3,Fungus,NFFUN2U010,Track all extant and selected historical EOs,2
Doellingeria vialis,Wayside aster,G3,S3,Vascular Plant,PDASTEC0A0,Track all extant and selected historical EOs,1
