"ELCODE","GNAME","GCOMNAME","NAME_CATEGORY_ID","NAME_TYPE_CD","NAME_CATEGORY_DESC","G_RANK","ELEMENT_SUBNATIONAL_ID","SNAME","SCOMNAME","S_RANK","CLASSIFICATION_STATUS_DESC","EO_TRACK_STATUS_DESC","SUBNATION_NAME"
"PMLIL0Z021","Hastingsia bracteosa var. atropurpurea","Large-flower Rushlily","4.0","P","Vascular Plant","G2T2","9278.0","Hastingsia bracteosa var. atropurpurea","Purple flowered rush-lily","S2","Standard","Track all extant and selected historical EOs","Oregon"
"PDLIN04010","Sclerolinon digynum","Northwestern Yellow-flax","4.0","P","Vascular Plant","G3G4","12091.0","Sclerolinon digynum","Northwestern yellow flax","S2?","Standard","Track all extant and selected historical EOs","Oregon"
"PDCHE042Y0","Atriplex gmelinii var. gmelinii","Gmelin's Saltbush","4.0","P","Vascular Plant","G5TNR","12083.0","Atriplex gmelinii var. gmelinii","Gmelin's saltbush","S1","Provisional","Track all extant and selected historical EOs","Oregon"
"PDPRI030DC","Primula pauciflora var. shoshonensis","Alkali-meadows Shootingstar","4.0","P","Vascular Plant","G5T3","11991.0","Dodecatheon pulchellum var. shoshonense","Darkthroat shootingstar","S2","Standard","Track all extant and selected historical EOs","Oregon"
"PDCAR0U2B0","Silene serpentinicola","Serpentine Catchfly","4.0","P","Vascular Plant","G3","11981.0","Silene hookeri ssp. serpentinicola","Serpentine catchfly","S1","Standard","Track all extant and selected historical EOs","Oregon"
"NFSM000007","Rhizopogon olivaceotinctus","a fungus","6.0","P","Fungus","G2G3","9780.0","Rhizopogon olivaceotinctus","Fungus","S1","Standard","Track all extant and selected historical EOs","Oregon"
"PMLIL0D0R2","Calochortus longebarbatus var. peckii","Peck's Mariposa Lily","4.0","P","Vascular Plant","G4T2T3","9244.0","Calochortus longebarbatus var. peckii","Peck's mariposa-lily","S2S3","Standard","Track all extant and selected historical EOs","Oregon"
"NBMUS2C0H0","Didymodon norrisii","Norris's Beard Moss","5.0","P","Nonvascular Plant","G4","10404.0","Didymodon norrisii","Norris' beard moss","S1","Standard","Track all extant and selected historical EOs","Oregon"
"NFNHP00057","Omphalina isabellina","a fungus","6.0","P","Fungus","G1","10181.0","Omphalina isabellina","Fungus","S1","Standard","Track all extant and selected historical EOs","Oregon"
"PDAST4M062","Helianthella uniflora var. uniflora","Rocky Mountain Rockrose","4.0","P","Vascular Plant","G5T4T5","9566.0","Helianthella uniflora var. uniflora","Rocky Mountain helianthella","SNR","Standard","Track all extant and selected historical EOs","Oregon"
"PMCYP0H040","Lipocarpha micrantha","Dwarf Bulrush","4.0","P","Vascular Plant","G5","9572.0","Lipocarpha micrantha","Small-flowered lipocarpha","S1?","Standard","Track all extant and selected historical EOs","Oregon"
"NLT0008082","Chromatochlamys muscorum var. octospora","a lichen","6.0","P","Fungus","G4G5T4T5","10294.0","Thelenella muscorum var. octospora","Lichen","S2","Standard","Track all extant and selected historical EOs","Oregon"
"NFNHP00029","Hebeloma occidentale","a fungus","6.0","P","Fungus","G1","10038.0","Hebeloma occidentale","Fungus","SH","Standard","Track all extant and selected historical EOs","Oregon"
"NFSM000075","Gautieria magnicellaris","a fungus","6.0","P","Fungus","G5?","9996.0","Gautieria magnicellaris","Fungus","S1","Standard","Track all extant and selected historical EOs","Oregon"
"NFFUN85010","Destuntzia fusca","a fungus","6.0","P","Fungus","G2","9948.0","Destuntzia fusca","Fungus","SH","Standard","Track all extant and selected historical EOs","Oregon"
"NFNHP00084","Squamanita paradoxa","a fungus","6.0","P","Fungus","G4","10591.0","Squamanita paradoxa","Fungus","SH","Standard","Track all extant and selected historical EOs","Oregon"
"NBMUS5T090","Polytrichastrum sexangulare var. sexangulare","Northern Haircap Moss","5.0","P","Nonvascular Plant","G4G5T4T5","10455.0","Polytrichastrum sexangulare var. sexangulare","Northern haircap moss","S1","Standard","Track all extant and selected historical EOs","Oregon"
