ELEMENT_SUBNATIONAL_ID,ELCODE,SNAME,SCOMNAME,HPLIST,TRACK,added to project,iNaturalist name if different,notes/issues,References
7949,IMGASG3210,Fluminicola sp. 9,Malheur pebblesnail,1,Y,skip,,unpublished taxon,
7940,IMGASG3120,Fluminicola turbiniformis,Turban pebblesnail,3,Y,y,,,
366224,IMGASG3610,Fluminicola umpquaensis,Jade pebblesnail,4,W,y,,,
7941,IMGASG3600,Fluminicola virens,Olympia pebblesnail,3,Y,y,,,
9735,IMGASC1010,Gliabates oregonius,Salamander slug,1,Y,y,,,
7577,IIODO08150,Gomphurus lynnae,Columbia clubtail,4,W,y,,,
7884,IMBIV19010,Gonidea angulata,Western ridged mussel,1,Y,y,,,
7676,IIGRY01050,Grylloblatta chintimini,Marys peak ice cricket,3,Y,y,,,
365439,IIGRY01090,Grylloblatta newberryensis,Newberry ice crawler,3,Y,y,,,
365442,IIGRY01100,Grylloblatta oregonensis,An ice crawler,3,Y,y,,,
365445,IIGRY01140,Grylloblatta siskiyouensis,An ice crawler,3,Y,y,,,
406393,IIHYM88100,Habropoda miserabilis,A digger bee,4,W,y,,,
12181,IMGASV2040,Haliotis kamtschatkana,Pinto abalone,1,Y,y,,,
8044,IMGASV2010,Haliotis rufescens,Red abalone,1,Y,y,,,
7318,IIHEM88010,Hebrus buenoi,Bueno's velvet water bug,3,Y,y,,,
13789,IMGAS50160,Helicodiscus salmonaceus,Salmon coil,3,Y,y,,,
8024,IMGASM6020,Helisoma newberryi,Great Basin ramshorn,1,Y,y,,,
7920,IMGASC2280,Helminthoglypta hertleini,Oregon shoulderband,1,Y,y,,,
365427,IMGAS59010,Hemphillia burringtoni,Keeled jumping-slug,3,Y,y,,,
7891,IMGAS59050,Hemphillia glandulosa,Warty jumping-slug,3,Y,y,,,
7892,IMGAS59060,Hemphillia malonei,Malone jumping-slug,4,W,y,,,
7893,IMGAS60030,Hesperarion mariae,Tillamook westernslug,4,W,y,,,
13857,IILEP65209,Hesperia colorado oregonia,Oregon branded skipper,2,Y,y,,,
7905,IMGAS95410,Hochbergellus hirsutus,Sisters hesperian,1,Y,y,,,
7808,IITRI24010,Homoplectra schuhi,Schuh's homoplectran caddisfly,3,Y,y,,,
7307,IIHEM71010,Hoplistoscelis heidemanni,Heidemann's damsel bug,3,Y,y,,,
7302,IIEPH87010,Ironodes arctus,Grizzly flat-headed mayfly,3,Y,y,,,
7694,IIPLE05090,Isocapnia mogila,Irregular stonefly,3,Y,y,,,
13669,IIPLE05140,Isocapnia rickeri,Umatilla snowfly,1,Y,y,,,
7723,IIPLE24480,Isoperla rainiera,Rainier stripetail,3,Y,y,,"updated our name in Biotics, NS notes ""rainieri"" is a mis-spelling",
10760,IIPLE24610,Isoperla umpqua,Muir Creek stonefly,1,Y,y,,,
7976,IMGASK4240,Juga acutifilosa,Scalloped juga,1,Y,y,,,
7977,IMGASK4270,Juga bulbosa,Bulb juga,1,Y,y,,,
7987,IMGASK4110,Juga caerulea,Blue Mountains juga,1,Y,y,,,
432789,IMGASK4230,Juga canella,Cinnamon juga,3,Y,y,,,
12432,IMGASK4210,Juga newberryi,Banded juga,1,Y,y,,,
7988,IMGASK4120,Juga sp. 3,Brown juga,3,Y,skip,,unpublished taxon,
442057,IIPLE1B020,Kathroperla takhoma,Slenderhead sallfly,2,Y,y,,,
8048,IPTUR08010,Kenkia rhynchida,Malheur Cave flatworm,1,Y,y,,,
8006,IMGASL7010,Lanx alta,Highcap lanx,2,Y,y,,,
7852,IITRIC7010,Lepania cascada,A caddisfly,3,Y,y,,,
