ELEMENT_SUBNATIONAL_ID,ELCODE,SNAME,SCOMNAME,HPLIST,TRACK,added to project,iNaturalist name if different,notes/issues,References
7887,IMBIV51330,Pisidium sp. 1,Modoc peaclam,1,Y,skip,,unpublished taxon,
7886,IMBIV51220,Pisidium ultramontanum,Montane peaclam,1,Y,y,Euglesa ultramontanus,,MolluscaBase 2022
8029,IMGASN0120,Planorbella oregonensis,Borax Lake ramshorn,1,Y,y,,,
7329,IIHEM98010,Platylygus pseudotsugae,Douglas-fir plant bug,3,Y,y,,,
7479,IILEPG801C,Plebejus icarioides fenderi,Fender's blue,1,Y,y,Icaria icarioides ssp. fenderi,"NatureServe also uses Icaria. Pelham, J.P. 2023. A catalogue of the butterflies of the United States and Canada. Revised 15 February 2023. http://butterfliesofamerica.com/US-Can-Cat.htm",Butterflies of America 2016
13090,IILEPH0033,Plebejus podarce klamathensis,Gray blue,2,Y,y,Agriades podarce ssp. klamathensis,"NatureServe also uses Agriades. Pelham, J.P. 2023. A catalogue of the butterflies of the United States and Canada. Revised 15 February 2023. http://butterfliesofamerica.com/US-Can-Cat.htm",
7477,IILEPG6015,Plebejus saepiolus littoralis,Coastal greenish blue,1,Y,y,Icaria saepiolus ssp. littoralis,"NatureServe also uses Icaria. Pelham, J.P. 2023. A catalogue of the butterflies of the United States and Canada. Revised 15 February 2023. http://butterfliesofamerica.com/US-Can-Cat.htm",http://butterfliesofamerica.com/US-Can-Cat.htm
7364,IILEP66030,Polites mardon,Mardon skipper,1,Y,y,,,
7370,IILEP66092,Polites sonora siris,Sonora skipper,3,Y,y,,,
7913,IMGASB3010,Polygyrella polygyrella,Humped coin,2,Y,y,,,
7972,IMGASJ9010,Pomatiopsis binneyi,Robust walker,1,Y,y,,,
7973,IMGASJ9020,Pomatiopsis californica,Pacific walker,1,Y,y,,,
7974,IMGASJ9030,Pomatiopsis chacei,Marsh walker,1,Y,y,,,
365450,IMGAS80012,Pristiloma arcticum,Northern Tightcoil,3,Y,y,,,
7899,IMGAS80011,Pristiloma crateris,Crater Lake tightcoil,4,W,,,Not in iNaturalist. they merge w. Pristiloma arcteris per. MolluscaBase,
11629,IMGAS80040,Pristiloma idahoense,Thinlip tightcoil,2,Y,y,,,
9741,IMGAS80050,Pristiloma johnsoni,Broadwhorl tightcoil,3,Y,y,,,
9744,IMGAS80100,Pristiloma pilsbryi,Crowned tightcoil,1,Y,y,,,
7898,IMGAS80140,Pristiloma wascoense,Shiny tightcoil,2,Y,y,,,
8045,IMGASX0010,Pristinicola hemphilli,Pristine springsnail,4,W,y,,,
7330,IIHEM99010,Pronotocrepis clavicornis,Thick-antennaed plant bug,3,Y,y,,,
7896,IMGAS62100,Prophysaon sp. 1,Klamath tail-dropper,3,Y,skip,,unpublished taxon,
366227,IICOL6E820,Pterostichus brachylobus,A carabid beetle,3,Y,y,,,
7239,IICOL6E170,Pterostichus johnsoni,Johnson's waterfall carabid beetle,4,W,y,,,
7238,IICOL6E090,Pterostichus rothi,Roth's blind ground beetle,4,W,y,,,
436300,IEECH88010,Pycnopodia helianthoides,Sunflower sea star,1,Y,y,,,
7962,IMGASJ0010,Pyrgulopsis archimedis,Archimedis springsnail,1,Y,y,,,
7968,IMGASJ0620,Pyrgulopsis fresti,Owyhee hot springsnail,1,Y,y,,,
7971,IMGASJ0650,Pyrgulopsis intermedia,Crooked Creek springsnail,1,Y,y,,,
12482,IMGASJ0G80,Pyrgulopsis owyheensis,A springsnail,1,Y,y,,,
11877,IMGASJ0830,Pyrgulopsis robusta,Jackson Lake springsnail,2,Y,y,,,
7963,IMGASJ0570,Pyrgulopsis sp. 7,Lost River springsnail,1,Y,skip,,unpublished taxon,
7965,IMGASJ0590,Pyrgulopsis sp. 9,Klamath Lake springsnail,1,Y,skip,,unpublished taxon,
7889,IMGAS49020,Radiodiscus abietum,Fir pinwheel,2,Y,y,,,
365572,ICMAL81020,Ramellogammarus similimanus,Stumptown scud,1,Y,y,,,
12374,IIEPH39070,Rhithrogena decora,A mayfly,3,Y,y,,,
7779,IITRI19380,Rhyacophila chandleri,A caddisfly,2,Y,y,,,
7775,IITRI19030,Rhyacophila colonus,O'Brien rhyacophilan caddisfly,1,Y,y,,,
7777,IITRI19050,Rhyacophila haddocki,Haddock's rhyacophilan caddisfly,1,Y,y,,,
7788,IITRI19610,Rhyacophila jewetti,A caddisfly,3,Y,y,,,
7789,IITRI19650,Rhyacophila kincaidi,A caddisfly,3,Y,y,,,
7780,IITRI19390,Rhyacophila leechi,A caddisfly,2,Y,y,,,
13081,IITRI19810,Rhyacophila rickeri,A caddisfly,3,Y,y,,,
7778,IITRI19090,Rhyacophila unipunctata,One-spot rhyacophilan caddisfly,3,Y,y,,,
7303,IIHEM07020,Saldula villosa,Hairy shore bug,3,Y,y,,,
7439,IILEPD4120,Satyrium tetra,Mountain mahogany hairstreak,3,Y,y,,,
7234,IICOL4L010,Scaphinotus hatchi,Hatch's carabid beetle,4,W,y,,,
13131,IICOL4L110,Scaphinotus mannii,Mann's mollusk-eating ground beetle,1,Y,y,,,
442058,IILEYMPCK0,Schinia lynda,A noctuid moth,3,Y,y,,,
7258,IIEPH10140,Serratella velmae,A spiny crawler mayfly,3,Y,y,Ephemerella velmae,,
7729,IIPLE2A030,Setvena wahkeena,Wahkeena springfly,3,Y,y,,,
7331,IIHEMA0010,Sixeonotus sp. 1,A plant bug,3,Y,skip,,unpublished taxon,
7717,IIPLE1G060,Soliperla tillamook,Tillamook roachfly,1,Y,y,,,
7492,IILEPJ609H,Speyeria callippe ssp. 1,Willamette callippe fritillary,1-ex,Y,skip,,unpublished taxon (and SX),
7487,IILEPJ6071,Speyeria coronis coronis,Coronis fritillary,2,Y,y,Argynnis coronis coronis,"iNaturalist source for change is unknown. NatureServe taxonomic comment states ""Zhang et al. (2020), following Simonsen et al. (2006), place Speyeria as a subgenus within Argynnis.""",
7490,IILEPJ608A,Speyeria zerene bremnerii,Valley silverspot,2-ex,Y,y,Argynnis zerene bremnerii,"iNaturalist source for change is unknown. NatureServe taxonomic comment states ""Zhang et al. (2020), following Simonsen et al. (2006), place Speyeria as a subgenus within Argynnis.""",
7489,IILEPJ6087,Speyeria zerene hippolyta,Oregon silverspot,1,Y,y,Argynnis zerene hippolyta,"iNaturalist source for change is unknown. NatureServe taxonomic comment states ""Zhang et al. (2020), following Simonsen et al. (2006), place Speyeria as a subgenus within Argynnis.""",Argynnis zerene hippolyta | NatureServe Explorer
7195,ICMAL05490,Stygobromus hubbsi,Malheur Cave amphipod,1,Y,y,,,
11488,ICMAL05D40,Stygobromus lanensis,Lane County Amphipod,3,Y,y,,,
7196,ICMAL05550,Stygobromus oregonensis,Oregon Cave amphipod,1,Y,y,,,
11719,ICMAL05B70,Stygobromus saltuaris,Williamette National Forest Amphipod,3,Y,y,,,
11683,ICMAL05D30,Stygobromus wahkeenensis,Wahkeena Creek Amphipod,3,Y,y,,,
7202,ICMAL92010,Stygonyx courtneyi,A cave obligate amphipod,3,Y,y,,,
7255,IICOLJB010,Stygoporus oregonensis,A cave obligate beetle,1,Y,y,,,
442059,IILEYN3310,Sympistis apep,A noctuid moth,3,Y,y,,,
442060,IILEYN3220,Sympistis hathor,A noctuid moth,3,Y,y,,,
442061,IILEYN31G0,Sympistis parvacana,A noctuid moth,3,Y,y,,,
7574,IIODO02010,Tanypteryx hageni,Black petaltail,4,W,y,,,
7875,ILARAA7020,Taracus silvestrii,A cave obligate harvestman,1,Y,y,,,
12109,IMGASX1010,Taylorconcha insperata,A freshwater snail,1,Y,y,,,
