sname,elcode,taxon_id,inat_name,last_updated,scomname,generic_name
Sebastes miniatus,AFC4A06390,64474,Sebastes miniatus,2026-05-11,Vermillion rockfish,
Oncorhynchus tshawytscha pop. 27,AFCHA0205J,54191,Oncorhynchus tshawytscha,2026-05-11,"Chinook salmon (Oregon Coast ESU, spring run)",Oncorhynchus tshawytscha
Cottus tenuis,AFC4E02240,98592,Cottus tenuis,2026-05-11,Slender sculpin,
Falco peregrinus anatum,ABNKD06071,117517,Falco peregrinus anatum,2026-05-11,American Peregrine Falcon,
Strix nebulosa,ABNSB12040,19890,Strix nebulosa,2026-05-11,Great Gray Owl,
