ELCODE,G_RANK,ELEMENT_SUBNATIONAL_ID,SNAME,SCOMNAME,S_RANK,EO_TRACK_STATUS_DESC
IICOL87040,G2?,7252.0,Acupalpus punctulatus,Marsh ground beetle,S2,Track all extant and selected historical EOs
IIEPH15330,G1G2,7270.0,Ameletus quadratus,A mayfly,S1,Track all extant and selected historical EOs
ICBRA02020,G5,7179.0,Artemia franciscana,San Francisco brine shrimp,S1,Track all extant and selected historical EOs
IITRI19090,G3,7778.0,Rhyacophila unipunctata,One-spot rhyacophilan caddisfly,S3,Track all extant and selected historical EOs
IITRI19050,G2?,7777.0,Rhyacophila haddocki,Haddock's rhyacophilan caddisfly,S2?,Track all extant and selected historical EOs
IIORT12010,G3,7678.0,Chloealtis aspasma,Siskiyou short-horned grasshopper,S3,Track all extant and selected historical EOs
IILEPG3020,G1,7471.0,Philotiella leona,Leona's little blue,S1,Track all extant and selected historical EOs
IMGASB5520,G2Q,7916.0,Oreohelix variabilis,Dalles mountainsnail,S2,Track all extant and selected historical EOs
IMGAS80100,G1G2,9744.0,Pristiloma pilsbryi,Crowned tightcoil,S1,Track all extant and selected historical EOs
IMGASG3230,G1,7951.0,Fluminicola sp. 11,Nerite pebblesnail,S1,Track all extant and selected historical EOs
IIPLE03290,G2,7688.0,Capnia oregona,Oregon snowfly,S1,Track all extant and selected historical EOs
IITRIC9010,G3,7854.0,Namamyia plutonis,A caddisfly,S3,Track all extant and selected historical EOs
IMGASG3340,G1,10648.0,Fluminicola sp. 21,Pinhead pebblesnail,S1,Track all extant and selected historical EOs
ICMAL05D30,G1G2,11683.0,Stygobromus wahkeenensis,Wahkeena Creek amphipod,S1,Track all extant and selected historical EOs
ICMAL05D40,G1G2,11488.0,Stygobromus lanensis,Lane County amphipod,S1,Track all extant and selected historical EOs
ICMAL05B70,G1G2,11719.0,Stygobromus saltuaris,Willamette National Forest amphipod,S1,Track all extant and selected historical EOs
IMGASC703B,G4G5T2,11567.0,Monadenia fidelis ssp. 3,Duncan sideband,S2,Track all extant and selected historical EOs
ICBRA23010,G1G3,11561.0,Dumontia oregonensis,Hairy water flea,S2,Track all extant and selected historical EOs
IMGASA4090,G2Q,9408.0,Vespericola depressus,Columbia Gorge hesperian,S2,Track all extant and selected historical EOs
IMGASF4200,G1,7930.0,Colligyrus sp. 3,Blue Mountains duskysnail,S1,Track all extant and selected historical EOs
IMGASF4220,G1,7932.0,Colligyrus sp. 5,Klamath duskysnail,S1,Track all extant and selected historical EOs
IMGASF4240,G1,7934.0,Colligyrus sp. 7,Mare's egg duskysnail,S1,Track all extant and selected historical EOs
IMGASM0340,G1,8018.0,Petrophysa sp. 1,Hotspring physa,S1,Track all extant and selected historical EOs
IMGASF4250,G1,7935.0,Colligyrus sp. 8,Nodose duskysnail,S1,Track all extant and selected historical EOs
IIPLE03610,G1G2,10763.0,Capnia kersti,Eugene stonefly,S1,Track all extant and selected historical EOs
IMGASC701I,G4G5T1,11732.0,Monadenia fidelis ssp. 11,Modoc Rim sideband,S1,Track all extant and selected historical EOs
IICOL02284,G5T3T4,11850.0,Cicindela purpurea hatchi,Hatch's tiger beetle,S2S3,Track all extant and selected historical EOs
IMGASX1010,G1,12109.0,Taylorconcha insperata,Unexpected pebblesnail,S1,Track all extant and selected historical EOs
IIPLE0D010,G2,7699.0,Pomoleuctra andersoni,Oregon needlefly,S3,Track all extant and selected historical EOs
ICBRA01080,G3,7178.0,Eubranchipus oregonus,Oregon fairy shrimp,S2,Track all extant and selected historical EOs
IIPLE24480,G2,7723.0,Isoperla rainiera,Rainier stripetail,S1?,Track all extant and selected historical EOs
IITRI16050,G1,12183.0,Neothremma prolata,A Caddisfly,S1S2,Track all extant and selected historical EOs
IMGASK4210,G2,12432.0,Juga newberryi,Banded juga,S1,Track all extant and selected historical EOs
IMGASJ0G80,G1G2,12482.0,Pyrgulopsis owyheensis,Owyhee Upland pyrg,S1S2,Track all extant and selected historical EOs
IIHYM24252,G3,365424.0,Bombus occidentalis,Western bumblebee,S2,Track all extant and selected historical EOs
IILEPA8042,G4G5T2T4,12784.0,Colias christina pseudochristina,Intermountain sulphur,S2,Track all extant and selected historical EOs
IILEPA8225,G4G5T2T3,13138.0,Colias occidentalis sullivani,Sullivan's sulphur,S2,Track all extant and selected historical EOs
IIHYMA5010,GNR,13093.0,Calliopsis barri,A miner bee,S1,Track all extant and selected historical EOs
IIHYM35500,G1?,13096.0,Andrena winnemuccana,A miner bee,S2?,Track all extant and selected historical EOs
IIHYM79090,GNR,13099.0,Ashmeadiella sculleni,A leaf-cutter bee,S1?,Track all extant and selected historical EOs
IIHYMA2490,GU,13102.0,Osmia ashmeadii,A mason bee,SH,Track all extant and selected historical EOs
IIHYM01482,G5TNR,13111.0,Perdita salicis euxantha,A miner bee,SU,Track all extant and selected historical EOs
IIHYM01483,G5T1?,13114.0,Perdita salicis sublaeta,A miner bee,S1?,Track all extant and selected historical EOs
IMGAS0H010,G2G3,13117.0,Carinacauda stormi,Cascades axetail slug,S2S3,Track all extant and selected historical EOs
IICOL4L110,G2,13131.0,Scaphinotus mannii,Mann's mollusk-eating ground beetle,S2?,Track all extant and selected historical EOs
IIHYM24380,G2G3,13672.0,Bombus caliginosus,Obscure bumblebee,S3?,Track all extant and selected historical EOs
IIEPH10140,G2,7258.0,Ephemerella velmae,A spiny crawler mayfly,S2,Track all extant and selected historical EOs
IIPLE05140,G2,13669.0,Isocapnia rickeri,Umatilla snowfly,S1,Track all extant and selected historical EOs
IIPLE0U100,G1,7708.0,Nanonemoura wahkeena,Wahkeena Falls flightless stonefly,S1,Track all extant and selected historical EOs
IICOLC7010,GNR,7253.0,Conisattus rectus,Sand darkling beetle,SH,Track all extant and selected historical EOs
IMGASG3520,G1,13700.0,Fluminicola fremonti,Fremont Pebblesnail,S1,Track all extant and selected historical EOs
ICMALC5010,GNR,436297.0,Upogebia pugettensis,Blue mud shrimp,S2,Track all extant and selected historical EOs
IIHYM24350,G2G3,365425.0,Bombus suckleyi,Suckley's cuckoo bumblebee,S1?,Track all extant and selected historical EOs
IIHYM24460,G3,365421.0,Bombus morrisoni,Morrison Bumblebee,S2,Track all extant and selected historical EOs
IILEPP2012,G4T1T2Q,366213.0,Danaus plexippus pop. 1,Western Monarch,S1S2B,Track all extant and selected historical EOs
IILEYN3310,GNR,442059.0,Sympistis apep,A noctuid moth,S1?,Track all extant and selected historical EOs
IILEYN31G0,GNR,442061.0,Sympistis parvacana,A noctuid moth,S1?,Track all extant and selected historical EOs
IILEYN3220,GNR,442060.0,Sympistis hathor,A noctuid moth,S1?,Track all extant and selected historical EOs
IILEYBH030,GNR,442063.0,Euros osticollis,A noctuid moth,S1,Track all extant and selected historical EOs
IILEYMPCK0,GNR,442058.0,Schinia lynda,A noctuid moth,S1?,Track all extant and selected historical EOs
IMGASG3540,G3,366215.0,Fluminicola multifarius,Shasta pebblesnail,S2S3,Track all extant and selected historical EOs
IILEPJ7180,G5?,7498.0,Boloria myrina,Silver-bordered fritillary,S2,Track all extant and selected historical EOs
IIPLE24610,G1,10760.0,Isoperla umpqua,Muir Creek stonefly,S1,Track all extant and selected historical EOs
IITRI01020,G2,7735.0,Lepidostoma astanea,Goeden's lepidostoman caddisfly,S2?,Track all extant and selected historical EOs
IIGRY01050,GNR,7676.0,Grylloblatta chintimini,Marys peak ice cricket,S1?,Track all extant and selected historical EOs
IIGRY01090,GNR,365439.0,Grylloblatta newberryensis,Newberry ice crawler,S1?,Track all extant and selected historical EOs
IIGRY01100,GNR,365442.0,Grylloblatta oregonensis,An ice crawler,S1?,Track all extant and selected historical EOs
IIGRY01140,GNR,365445.0,Grylloblatta siskiyouensis,An ice crawler,S1?,Track all extant and selected historical EOs
IMGASC7034,G4G5T1T2,7924.0,Monadenia fidelis flava,Green sideband,S1S2,Track all extant and selected historical EOs
IIHEM72010,G5,7308.0,Nabis propinquus,Marsh damsel bug,S2,Track all extant and selected historical EOs
ICMAL81020,GNR,365572.0,Ramellogammarus similimanus,Stumptown scud,S3,Track all extant and selected historical EOs
IILEPG6015,G5T1T2,7477.0,Icaricia saepiolus littoralis,Coastal greenish blue,S1,Track all extant and selected historical EOs
IMGASA4550,G1Q,366214.0,Vespericola sp. 31,Yamhill hesperian,S1,Track all extant and selected historical EOs
IILEPA8133,G4T1,366216.0,Colias skinneri hinchliffi,Steen's Mountain sulphur,S1,Track all extant and selected historical EOs
IMGASG3260,G2,7954.0,Fluminicola klamathensis,Tall pebblesnail,S1,Track all extant and selected historical EOs
IMGASG3620,G2G3,366219.0,Fluminicola fresti,Frest's pebblesnail,S1S2,Track all extant and selected historical EOs
IICOL6E820,G2,366227.0,Pterostichus brachylobus,A carabid beetle,S2,Track all extant and selected historical EOs
IILEPA8272,G4G5TNR,366235.0,Colias occidentalis primordialis,A sulphur,S2,Track all extant and selected historical EOs
IEECH88010,GNR,436300.0,Pycnopodia helianthoides,Sunflower sea star,S1,Track all extant and selected historical EOs
IIHEM72020,G5,7309.0,Nabis subcoleoptratus,Black damsel bug,S2,Track all extant and selected historical EOs
IILEPC1151,G5TNR,7429.0,Tharsalea mariposa marya,Mary's copper,S2,Track all extant and selected historical EOs
IILEPC115B,G5TNR,366220.0,Tharsalea mariposa junia,June's copper,S1?,Track all extant and selected historical EOs
IILEPC115C,G5TNR,366221.0,Tharsalea mariposa candia,Candace's copper,S1,Track all extant and selected historical EOs
IILEPJ6071,G5T3,7487.0,Argynnis coronis coronis,Coronis fritillary,S2,Track all extant and selected historical EOs
IILEPJ608A,G5T3T4,7490.0,Argynnis zerene bremnerii,Valley silverspot,SH,Track all extant and selected historical EOs
IILEPJ6087,G5T1,7489.0,Argynnis zerene hippolyta,Oregon silverspot,S1,Track all extant and selected historical EOs
IIPLE2W010,G1,417960.0,Dracoleuctra siskiyou,A wingless stonefly,S1,Track all extant and selected historical EOs
IILEPC1014,G5T3T5,7415.0,Lycaena hypophlaeas arctodon,Beartooth copper butterfly,S3?,Track all extant and selected historical EOs
IMGASK4230,G1G2,432789.0,Juga canella,Cinnamon juga,S1,Track all extant and selected historical EOs
IMGASK4110,G1,7987.0,Juga caerulea,Blue Mountains juga,S1,Track all extant and selected historical EOs
IILEPJ6028,G4G5TU,366212.0,Argynnis leto pugetensis,Puget Sound fritillary,S3?,Track all extant and selected historical EOs
IILEPJ6024,G4G5T1T2,366211.0,Argynnis leto eileenae,Great spangled fritillary - California subpopulation,S1?,Track all extant and selected historical EOs
