ELCODE,G_RANK,ELEMENT_SUBNATIONAL_ID,SNAME,SCOMNAME,S_RANK,EO_TRACK_STATUS_DESC
PDROS0W0F1,G4G5T4?,365321.0,Horkelia tridentata ssp. flavescens,Pale horkelia,SNR,Track all extant and selected historical EOs
PDSCR1L031,G5T2T4,365308.0,Penstemon acuminatus var. acuminatus,Sand dune penstemon,SNR,Track all extant and selected historical EOs
PMPOA04060,G2G3,365925.0,Agrostis blasdalei,Cliff bentgrass,S1,Track all extant and selected historical EOs
PMLIL021R0,G4G5,9224.0,Allium peninsulare,Peninsular onion,S1,Track all extant and selected historical EOs
PMJUN013B0,G4,9202.0,Juncus tiehmii,Tiehm's rush,S1?,Track all extant and selected historical EOs
PMIRI09100,G2,9189.0,Iris tenuis,Clackamas iris,S2,Track all extant and selected historical EOs
PDASTE80L8,G5T5,365336.0,Symphyotrichum ericoides var. pansum,Tufted white prairie aster,SNR,Track all extant and selected historical EOs
PDBRA0M0G0,G4G5,8441.0,Caulanthus pilosus,Hairy wild cabbage,S2,Track all extant and selected historical EOs
PMCYP033R0,G5,9126.0,Carex diandra,Lesser panicled sedge,S1,Track all extant and selected historical EOs
PDCHE04120,G4G5,8516.0,Atriplex leucophylla,Beach saltbush,SNR,Track all extant and selected historical EOs
PDAPI1B0R0,G1,8202.0,Lomatium greenmanii,Greenman's lomatium,S1,Track all extant and selected historical EOs
PDFAB0F3L0,G5,8571.0,Astragalus gambelianus,Gambel milk-vetch,S1,Track all extant and selected historical EOs
PMLIL210A0,G5,9302.0,Triteleia ixioides,Prettyface,SNR,Track all extant and selected historical EOs
PMCYP035K0,G5,9128.0,Carex gynocrates,Yellow bog sedge,S1,Track all extant and selected historical EOs
PDRAN0G030,G3?,13837.0,Enemion occidentale,Western false rue-anemone,S1?,Track all extant and selected historical EOs
PDRUB0N1Y8,G4G5T2T3,8933.0,Galium serpenticum ssp. warnerense,Warner Mountain bedstraw,S2,Track all extant and selected historical EOs
PDNYC010M0,G4G5,9504.0,Abronia turbinata,Trans montane abronia,S1,Track all extant and selected historical EOs
PDGRO021K0,G5,13637.0,Ribes triste,Western red currant,SNR,Track all extant and selected historical EOs
PDCER01040,G4,9451.0,Ceratophyllum echinatum,Prickly hornwort,SH,Track all extant and selected historical EOs
PDPGN084B0,G4,8788.0,Eriogonum nutans,Spreading eriogonum,SNR,Track all extant and selected historical EOs
PDPGN08590,G3G4,8795.0,Eriogonum salicornioides,Playa buckwheat,S2,Track all extant and selected historical EOs
PDSAL02110,G4G5,8946.0,Salix farriae,Farr's willow,S2,Track all extant and selected historical EOs
PDAPI0M020,G5,8184.0,Cicuta bulbifera,Bulb-bearing water-hemlock,SH,Track all extant and selected historical EOs
PDHYD0C300,G3,8699.0,Phacelia minutissima,Least phacelia,S1,Track all extant and selected historical EOs
PDBRA06180,G3,8424.0,Arabis modesta,Rogue Canyon rockcress,S2,Track all extant and selected historical EOs
PDSAX0U2J0,G5,420134.0,Saxifraga hyperborea,Pygmy saxifrage,SNR,Track all extant and selected historical EOs
PMLIL0V0H0,G4,9275.0,Fritillaria purdyi,Purdy's fritillaria,S1,Track all extant and selected historical EOs
PDFAB0F1L0,G3,8558.0,Astragalus californicus,California milk-vetch,S1,Track all extant and selected historical EOs
PDFAB0F410,G4,8572.0,Astragalus hoodianus,Hood River milk-vetch,S3,Track all extant and selected historical EOs
PDAST0S1D0,G4G5,8257.0,Artemisia pycnocephala,Coastal sagewort,S1,Track all extant and selected historical EOs
PMLIL0D0Y0,G4,9248.0,Calochortus nitidus,Broad-fruit mariposa-lily,S1,Track all extant and selected historical EOs
PMIRI09020,G3,9185.0,Iris bracteata,Siskiyou iris,S2,Track all extant and selected historical EOs
PDAST4W0N0,G4,8308.0,Hieracium horridum,Shaggy hawkweed,S1,Track all extant and selected historical EOs
PMLEM03020,G5,365333.0,Wolffia brasiliensis,Brazilian water meal,SNR,Track all extant and selected historical EOs
PMHYD03080,G5,9554.0,Elodea nuttallii,Nuttall's waterweed,SNR,Track all extant and selected historical EOs
PDBRA0P010,G2,13839.0,Chlorocrambe hastata,Spearhead,S1,Track all extant and selected historical EOs
