name,label,sname,author,scomname,s_rank,eo_track_status_desc,explorer,egt_uid,family,ELCODE_BCD,NAME_CATEGORY_DESC,growth_habit,element_type,duration
6456,Bartramia longicauda : Upland Sandpiper,Bartramia longicauda,"(Bechstein, 1812)",Upland Sandpiper,S1B,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102059,ELEMENT_GLOBAL.2.102059,Scolopacidae,ABNNF06010,Vertebrate Animal,,Animal,
6335,Botaurus exilis : Least Bittern,Botaurus exilis,"(Gmelin, 1789)",Least Bittern,S1B,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106202,ELEMENT_GLOBAL.2.106202,Ardeidae,ABNGA02010,Vertebrate Animal,,Animal,
6517,Brachyramphus marmoratus : Marbled Murrelet,Brachyramphus marmoratus,"(Gmelin, 1789)",Marbled Murrelet,S2B,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100239,ELEMENT_GLOBAL.2.100239,Alcidae,ABNNN06010,Vertebrate Animal,,Animal,
6357,Branta canadensis occidentalis : Dusky Canada Goose,Branta canadensis occidentalis,"(S.F. Baird, 1858)",Dusky Canada Goose,S3N,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106175,ELEMENT_GLOBAL.2.106175,Anatidae,ABNJB05039,Vertebrate Animal,,Animal,
6355,Branta hutchinsii leucopareia : Aleutian Cackling Goose,Branta hutchinsii leucopareia,"(Brandt, 1836)",Aleutian Cackling Goose,S3N,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100563,ELEMENT_GLOBAL.2.100563,Anatidae,ABNJB05035,Vertebrate Animal,,Animal,
6384,Bucephala albeola : Bufflehead,Bucephala albeola,"(Linnaeus, 1758)",Bufflehead,"S2B,S5N",Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104714,ELEMENT_GLOBAL.2.104714,Anatidae,ABNJB18030,Vertebrate Animal,,Animal,
6415,Canachites canadensis : Spruce Grouse,Canachites canadensis,"(Linnaeus, 1758)",Spruce Grouse,S3,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104936,ELEMENT_GLOBAL.2.104936,Phasianidae,ABNLC09010,Vertebrate Animal,,Animal,
7099,Canis lupus : Gray wolf,Canis lupus,"Linnaeus, 1758",Gray wolf,S1S2,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105212,ELEMENT_GLOBAL.2.105212,Canidae,AMAJA01030,Vertebrate Animal,,Animal,
6914,Catostomus microps : Modoc sucker,Catostomus microps,"Rutter, 1908",Modoc sucker,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101328,ELEMENT_GLOBAL.2.101328,Catostomidae,AFCJC02140,Vertebrate Animal,,Animal,
6916,Catostomus occidentalis lacusanserinus : Goose Lake sucker,Catostomus occidentalis lacusanserinus,"Fowler, 1913",Goose Lake sucker,S2,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101881,ELEMENT_GLOBAL.2.101881,Catostomidae,AFCJC02151,Vertebrate Animal,,Animal,
6919,Catostomus rimiculus pop. 1 : Jenny Creek sucker,Catostomus rimiculus pop. 1,,Jenny Creek sucker,S2,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104342,ELEMENT_GLOBAL.2.104342,Catostomidae,AFCJC02181,Vertebrate Animal,,Animal,
6920,Catostomus snyderi : Klamath largescale sucker,Catostomus snyderi,"Gilbert, 1898",Klamath largescale sucker,S3,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103584,ELEMENT_GLOBAL.2.103584,Catostomidae,AFCJC02200,Vertebrate Animal,,Animal,
6921,Catostomus tahoensis : Tahoe sucker,Catostomus tahoensis,"Gill and Jordan, 1878",Tahoe sucker,S3,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101315,ELEMENT_GLOBAL.2.101315,Catostomidae,AFCJC02210,Vertebrate Animal,,Animal,
6922,Catostomus warnerensis : Warner sucker,Catostomus warnerensis,"Snyder, 1908",Warner sucker,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100954,ELEMENT_GLOBAL.2.100954,Catostomidae,AFCJC02220,Vertebrate Animal,,Animal,
6420,Centrocercus urophasianus : Greater Sage-Grouse,Centrocercus urophasianus,"(Bonaparte, 1827)",Greater Sage-Grouse,S2,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105314,ELEMENT_GLOBAL.2.105314,Phasianidae,ABNLC12010,Vertebrate Animal,,Animal,
6522,Cerorhinca monocerata : Rhinoceros Auklet,Cerorhinca monocerata,"(Pallas, 1811)",Rhinoceros Auklet,S2B,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106458,ELEMENT_GLOBAL.2.106458,Alcidae,ABNNN11010,Vertebrate Animal,,Animal,
6923,Chasmistes brevirostris : Shortnose sucker,Chasmistes brevirostris,"Cope, 1879",Shortnose sucker,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106479,ELEMENT_GLOBAL.2.106479,Catostomidae,AFCJC03010,Vertebrate Animal,,Animal,
7145,Chrysemys picta : Painted turtle,Chrysemys picta,"(Schneider, 1783)",Painted turtle,S2,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.637723,ELEMENT_GLOBAL.2.637723,Emydidae,ARAAD01010,Vertebrate Animal,,Animal,
6530,Coccyzus americanus : Yellow-billed Cuckoo,Coccyzus americanus,"(Linnaeus, 1758)",Yellow-billed Cuckoo,SHB,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105709,ELEMENT_GLOBAL.2.105709,Cuculidae,ABNRB02020,Vertebrate Animal,,Animal,
6991,Corynorhinus townsendii : Townsend's big-eared bat,Corynorhinus townsendii,"(Cooper, 1837)",Townsend's big-eared bat,S2,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103228,ELEMENT_GLOBAL.2.103228,Vespertilionidae,AMACC08010,Vertebrate Animal,,Animal,
6791,Cottus pitensis : Pit sculpin,Cottus pitensis,"Bailey and Bond, 1963",Pit sculpin,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104380,ELEMENT_GLOBAL.2.104380,Cottidae,AFC4E02190,Vertebrate Animal,,Animal,
6794,Cottus tenuis : Slender sculpin,Cottus tenuis,"(Evermann and Meek, 1898)",Slender sculpin,S3,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105800,ELEMENT_GLOBAL.2.105800,Cottidae,AFC4E02240,Vertebrate Animal,,Animal,
6428,Coturnicops noveboracensis : Yellow Rail,Coturnicops noveboracensis,"(Gmelin, 1789)",Yellow Rail,S2B,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100233,ELEMENT_GLOBAL.2.100233,Rallidae,ABNME01010,Vertebrate Animal,,Animal,
6347,Cygnus buccinator : Trumpeter Swan,Cygnus buccinator,"Richardson, 1831",Trumpeter Swan,"S1?B,S3N",Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105446,ELEMENT_GLOBAL.2.105446,Anatidae,ABNJB02030,Vertebrate Animal,,Animal,
6553,Cypseloides niger : Black Swift,Cypseloides niger,"(Gmelin, 1789)",Black Swift,S2?B,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101434,ELEMENT_GLOBAL.2.101434,Apodidae,ABNUA01010,Vertebrate Animal,,Animal,
6924,Deltistes luxatus : Lost River sucker,Deltistes luxatus,"(Cope, 1879)",Lost River sucker,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102932,ELEMENT_GLOBAL.2.102932,Catostomidae,AFCJC12010,Vertebrate Animal,,Animal,
