name,label,sname,author,scomname,s_rank,eo_track_status_desc,explorer,egt_uid,family,ELCODE_BCD,NAME_CATEGORY_DESC,growth_habit,element_type,duration
442061,Sympistis parvacana : A noctuid moth,Sympistis parvacana,"(Troubridge and Crabo, (1999))",A noctuid moth,S1?,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.863969,ELEMENT_GLOBAL.2.863969,Noctuidae,IILEYN31G0,Invertebrate Animal,,Animal,
7875,Taracus silvestrii : A cave obligate harvestman,Taracus silvestrii,"Briggs, 1969",A cave obligate harvestman,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.120574,ELEMENT_GLOBAL.2.120574,Ischyropsalidae,ILARAA7020,Invertebrate Animal,,Animal,
12109,Taylorconcha insperata : Unexpected pebblesnail,Taylorconcha insperata,"Hershler, Liu, Frest, Johannes, and Clark, 2006",Unexpected pebblesnail,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.793179,ELEMENT_GLOBAL.2.793179,Amnicolidae,IMGASX1010,Invertebrate Animal,,Animal,
366221,Tharsalea mariposa candia : Candace's copper,Tharsalea mariposa candia,"(Pyle and Hammond, 2018)",Candace's copper,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1102839,ELEMENT_GLOBAL.2.1102839,Lycaenidae,IILEPC115C,Invertebrate Animal,,Animal,
366220,Tharsalea mariposa junia : June's copper,Tharsalea mariposa junia,"(Pyle and Hammond, 2018)",June's copper,S1?,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1102835,ELEMENT_GLOBAL.2.1102835,Lycaenidae,IILEPC115B,Invertebrate Animal,,Animal,
7429,Tharsalea mariposa marya : Mary's copper,Tharsalea mariposa marya,"(Pyle and Hammond, 2018)",Mary's copper,S2,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.110855,ELEMENT_GLOBAL.2.110855,Lycaenidae,IILEPC1151,Invertebrate Animal,,Animal,
436297,Upogebia pugettensis : Blue mud shrimp,Upogebia pugettensis,"(Dana, 1852)",Blue mud shrimp,S2,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.769137,ELEMENT_GLOBAL.2.769137,Upogebiidae,ICMALC5010,Invertebrate Animal,,Animal,
7334,Vanduzeeina borealis californica : California shield-backed bug,Vanduzeeina borealis californica,(Van Duzee 1925),California shield-backed bug,SH,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.109018,ELEMENT_GLOBAL.2.109018,Scutelleridae,IIHEMA2021,Invertebrate Animal,,Animal,
11623,Vertigo columbiana : Columbia vertigo,Vertigo columbiana,"Pilsbry and Vanatta, 1900",Columbia vertigo,S3?,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.118627,ELEMENT_GLOBAL.2.118627,Pupillidae,IMGAS20110,Invertebrate Animal,,Animal,
10685,Vertigo dalliana : Horseshoe vertigo,Vertigo dalliana,"Sterki, 1890",Horseshoe vertigo,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.117276,ELEMENT_GLOBAL.2.117276,Pupillidae,IMGAS20130,Invertebrate Animal,,Animal,
9408,Vespericola depressus : Columbia Gorge hesperian,Vespericola depressus,"(Pilsbry and Henderson, 1936)",Columbia Gorge hesperian,S2,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.109551,ELEMENT_GLOBAL.2.109551,Polygyridae,IMGASA4090,Invertebrate Animal,,Animal,
7908,Vespericola sierranus : Siskiyou hesperian,Vespericola sierranus,"(S.S. Berry, 1921)",Siskiyou hesperian,S2?,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.120365,ELEMENT_GLOBAL.2.120365,Polygyridae,IMGASA4080,Invertebrate Animal,,Animal,
7909,Vespericola sp. 1 : Oak Springs hesperian,Vespericola sp. 1,,Oak Springs hesperian,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.109549,ELEMENT_GLOBAL.2.109549,Polygyridae,IMGASA4100,Invertebrate Animal,,Animal,
7910,Vespericola sp. 2 : Bald hesperian,Vespericola sp. 2,,Bald hesperian,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.114236,ELEMENT_GLOBAL.2.114236,Polygyridae,IMGASA4110,Invertebrate Animal,,Animal,
366214,Vespericola sp. 31 : Yamhill hesperian,Vespericola sp. 31,,Yamhill hesperian,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1103136,ELEMENT_GLOBAL.2.1103136,Polygyridae,IMGASA4550,Invertebrate Animal,,Animal,
8034,Vorticifex effusa dalli : Dall's ramshorn,Vorticifex effusa dalli,"(Baker, 1945)",Dall's ramshorn,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.111648,ELEMENT_GLOBAL.2.111648,Planorbidae,IMGASN2011,Invertebrate Animal,,Animal,
8035,Vorticifex effusa diagonalis : Lined ramshorn,Vorticifex effusa diagonalis,"(Henderson, 1929)",Lined ramshorn,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.107661,ELEMENT_GLOBAL.2.107661,Planorbidae,IMGASN2012,Invertebrate Animal,,Animal,
8038,Vorticifex klamathensis klamathensis : Klamath ramshorn,Vorticifex klamathensis klamathensis,"(Baker, 1945)",Klamath ramshorn,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.119390,ELEMENT_GLOBAL.2.119390,Planorbidae,IMGASN2041,Invertebrate Animal,,Animal,
8039,Vorticifex klamathensis sinitsini : Sinitsin ramshorn,Vorticifex klamathensis sinitsini,"(Baker, 1945)",Sinitsin ramshorn,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.118973,ELEMENT_GLOBAL.2.118973,Planorbidae,IMGASN2042,Invertebrate Animal,,Animal,
8036,Vorticifex neritoides : Nerite ramshorn,Vorticifex neritoides,"(F.C. Baker, 1945)",Nerite ramshorn,SU,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.116239,ELEMENT_GLOBAL.2.116239,Planorbidae,IMGASN2030,Invertebrate Animal,,Animal,
