SNAME,SCOMNAME,AUTHOR_NAME_FULL,HP_LIST,added to project,iNaturalist name if different,Biotics updated,notes/issues,References
Dryas drummondii,Yellow mountain-avens,Richards. ex Hook.,4,y,,,,
Dryopteris filix-mas,Male fern,(L.) Schott,4,y,,,,
Eatonella nivea,White eatonella,(D.C. Eat.) Gray,4,y,,,,
Elatine brachysperma,Short-seeded waterwort,Gray,2,y,,,,
Eleocharis bolanderi,Bolander's spikerush,Gray,2,y,,,,
Eleocharis decumbens,Decumbent spikerush,C.B. Clarke,3,y,,,,
Elmera racemosa var. racemosa,Yellow coralbells,(S. Wats.) Rydb.,4,y,,,,
Elodea nuttallii,Nuttall's waterweed,(Planch.) St. John,3,y,,,,
Elymus canadensis var. canadensis,Canada wildrye,L.,3,y,,,,
Elymus glaucus ssp. virescens,Smooth wildrye,Buckl.,2,y,,,,
Elymus hirsutus,Hairy wildrye,J. Presl,2,y,,,,
Elymus lanceolatus ssp. psammophilus,Sand-dune wild-rye,(Scribn. & J.G. Sm.) Gould,3,y,,,,
Enemion occidentale,Western false rue-anemone,(Hook. & Arn.) Drumm. & Hutchinson,2,y,,,,
Enemion stipitatum,Dwarf isopyrum,(Gray) Drumm. & Hutchinson,4,y,,,,
Epilobium leptocarpum,Low willowherb,Hausskn.,3,y,,,,
Epilobium luteum,Yellow willow-herb,Pursh,4,y,,,,
Epilobium oreganum,Oregon willow-herb,Greene,1,y,,,,
Epilobium palustre,Swamp willow-herb,L.,2,y,,,,
Epilobium rigidum,Rigid willow-herb,Hausskn.,4,y,,,,
Epilobium siskiyouense,Siskiyou willow-herb,(Munz) Hoch & Raven,1,y,,,,
Eragrostis lutescens,Yellow lovegrass,Scribn.,2,y,,,,
Eremothera boothii ssp. boothii,Booth evening-primrose,(Douglas) W.L. Wagner & Hoch,4,y,,,,
Eremothera minor,Small flowered evening primrose,(A. Nelson) W.L. Wagner & Hoch,3,y,,,,
Eremothera pygmaea,Dwarf evening-primrose,(Dougl.) W.L. Wagner & Hoch,1,y,,,,
Ericameria arborescens,Golden fleece,(Gray) Greene,2,y,,,,
Ericameria discoidea,Discoid goldenweed,(Nutt.) Nesom,4,y,,,,
Erigeron cascadensis,Cascade daisy,Heller,4,y,,,,
Erigeron cervinus,Siskiyou daisy,Greene,2,y,,,,
Erigeron davisii,Engelmann's daisy,(Cronquist) G. L. Nesom,2,N,"Erigeron disparipilus, E. davisii may not be in iNaturalist","n, needs review","ORBIC needs to review; if syn. E. disparipilus may need to drop or adjust rank and list. E. disparipilus relates to E. engelmannii davisii, which NatureServe says is a synonym to E. davisii. POWO says E. davisii a heterotopic synonym to E. disparipilus","Erigeron davisii | NatureServe Explorer
https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:93714-2#synonyms"
Erigeron decumbens,Willamette Valley daisy,Nutt.,1,y,,,,
Erigeron disparipilus,White cushion erigeron,Cronq.,2,y,,"n, needs review",See reference notes for E. davisii. Searching E. davisii brought up this one instead. ,
Erigeron howellii,Howell's daisy,Gray,1,y,,,,
Erigeron klamathensis,Klamath daisy,(Nesom) Nesom,2,y,,,,
Erigeron latus,Broad fleabane,(A. Nels. & J.F. Macbr.) Cronq.,2,y,,,,
Erigeron oreganus,Oregon daisy,Gray,1,y,,,,
Erigeron peregrinus var. peregrinus,Wandering daisy,(Banks ex Pursh) Greene,2,y,,,,
Erigeron petrophilus,Cliff daisy,Greene,2,y,,,,
Erigeron stanselliae,Stansell's daisy,K.L. Chambers,1,y,,,,
Erigeron tener,Tender fleabane,Gray,2,y,,,,
Erigeron vagus,Rambling fleabane,Payson,3,y,,,,
Eriocoma hendersonii,Henderson ricegrass,(Vasey) Romasch.,1,y,,,,
Eriocoma nevadensis,Nevada needlegrass,(B.L. Johnson) Romasch.,2,y,,,,
Eriocoma pinetorum,Pine needlegrass,(M.E. Jones) Romasch.,3,y,,,,
Eriocoma richardsonii,Richardson's needlegrass,(Link) Romasch.,2,y,,,,
Eriocoma wallowaensis,Wallowa ricegrass,(J. Maze & K. Robson) Romasch.,1,y,,,,
Eriocoma webberi,Webber needlegrass,Thurb.,4,y,,,,
Eriodictyon lobbii,Lobb's nama,(A. Gray) Greene,4,y,Nama lobbii,n,"Leave as-is, ORBIC name matches ORFlora.",Eriodictyon lobbii Greene | Plants of the World Online | Kew Science
Eriogonum brachyanthum,Short-flowered eriogonum,Coville,2,y,,,,
Eriogonum calcareum,Ochre-flowered buckwheat,(S.Stokes) Grady & Reveal,4,y,,,,
Eriogonum chrysops,Golden buckwheat,Rydb.,1,y,,,,
Eriogonum crosbyae var. crosbyae,Crosby's buckwheat,Reveal,1,y,Eriogonum crosbyae,n,"Specific variety not in iNaturalist, but since we want both varieties of E. crosbyae added at the species level to capture both",
Eriogonum crosbyae var. mystrium,Pueblo Mountains Buckwheat,Reveal,1,y,Eriogonum crosbyae,n,See above cell,
Eriogonum cusickii,Cusick's eriogonum,M.E. Jones,1,y,,,,
Eriogonum diclinum,Jaynes Canyon buckwheat,Reveal,4,y,,,,
Eriogonum douglasii var. meridionale,Southern wild buckwheat,Benth.,3,y,,,,
Eriogonum elatum var. villosum,Tall wooly buckwheat,Dougl. ex Benth.,3,y,,,,
Eriogonum hookeri,Hooker's wild buckwheat,S. Wats.,2,y,,,,
Eriogonum lobbii,Lobb's buckwheat,Torr. & Gray,2,y,,,,
Eriogonum nudum var. paralinum,Del Norte buckwheat,Dougl. ex Benth.,3,y,,,,
Eriogonum nutans,Spreading eriogonum,Torr. & Gray,3,y,,,,
Eriogonum pendulum,Waldo buckwheat,S. Wats.,4,y,,,,
Eriogonum prociduum,Prostrate buckwheat,Reveal,1,y,,,,
Eriogonum roseum,Wand buckwheat,Dur. & Hilg.,3,y,,,,
Eriogonum salicornioides,Playa buckwheat,Gandog.,2,y,,,,
Eriogonum scopulorum,Cliff buckwheat,Reveal,4,y,,,,
Eriogonum thymoides,Thyme-leaved buckwheat,Benth.,2,y,,,,
Eriogonum umbellatum var. glaberrimum,Green buckwheat,Torr.,1,y,,,,
Eriogonum villosissimum,Acker Rock wild buckwheat,Reveal & D.A. York,1,y,,,,
Eriophorum angustifolium,Many-spiked cotton-grass,Honckeny,4,y,,,,
Eriophorum chamissonis,Russet cotton-grass,C.A. Mey.,2,y,,,,
Eriophyllum lanatum var. grandiflorum,Large-flower eriophyllum,(Pursh) Forbes,3,y,,,,
Eritrichium nanum var. elongatum,Pale alpine-forget-me-not,(Vill.) Schrad. ex Gaudin,4,y,Eritrichium argenteum,n,"Leave as-is, ORBIC name matches ORFlora.",Eritrichium argenteum W.Wight | Plants of the World Online | Kew Science
Erysimum concinnum,Pacific wallflower,Eastw.,2,y,,,,
Erysimum inconspicuum,Small wallflower,(S. Wats.) MacM.,3,y,,,,
Erythranthe hymenophylla,Membrane-leaved monkeyflower,(Meinke) G.L. Nesom,1,y,,,,
Erythranthe inflatula,Disappearing monkeyflower,(Suksdorf) Nesom,1,y,,,,
Erythranthe jungermannioides,Hepatic monkeyflower,(Suksdorf) G.L. Nesom,4,y,,,,
Erythranthe latidens,Broad-toothed monkeyflower,(A. Gray) G.L. Nesom,2,y,,,,
Erythranthe patula,Stalked-leaved monkeyflower,(Pennell) G.L. Nesom,3,y,,,,
Erythranthe scouleri,Scouler's monkeyflower,(Hook.) G.L. Nesom,3,y,,,,
Erythronium elegans,Coast Range fawn-lily,Hammond & Chambers,1,y,,,,
Erythronium howellii,Howell's adder's-tongue,S. Wats.,1,y,,,,
Erythronium revolutum,Pink fawn-lily,Sm.,4,y,,,,
Eschscholzia caespitosa,Gold poppy,Benth.,2,y,,,,
Doellingeria breweri,Brewer's aster,(Gray) Nesom,3,y,,,,
Doellingeria gormanii,Gorman's aster,Piper,1,y,,,,
Eucephalus vialis,Wayside aster,Bradshaw,1,y,Doellingeria vialis,y,"ORBIC name changed, matches ORFlora","Doellingeria vialis (Bradshaw) Semple, Brouillet & G.A.Allen | Plants of the World Online | Kew Science"
Euonymus occidentalis,Western wahoo,Nutt. ex Torr.,4,y,,,,
Eurybia merita,Arctic aster,(A. Nels.) Nesom,3,y,,,,
Festuca brachyphylla,Alpine fescue,J.A. Schultes ex J.A. & J.H. Schultes,4,y,,,,
Festuca elmeri,Elmer's fescue,Scribn. & Merr.,4,y,,,,
Festuca rubra ssp. mediana,Median red fescue,L.,3,n,Not in iNaturalist,n,"in ORFlora. skip for now, F. rubra taxonomy unsettled",
Festuca rubra ssp. secunda,Leaning red fescue,L.,3,y,,,,
Filipendula occidentalis,Queen-of-the-forest,(S. Wats.) T.J. Howell,1,y,,,,
Frasera umpquaensis,Umpqua swertia,Peck & Applegate,1,y,,,,
Fritillaria camschatcensis,Indian rice,(L.) Ker-Gawl.,2,y,,,,
Fritillaria gentneri,Gentner's fritillaria,Gilkey,1,y,,,,
Fritillaria glauca,Siskiyou fritillaria,Greene,4,y,,,,
Fritillaria purdyi,Purdy's fritillaria,Eastw.,2,y,,,,
Gagea serotina,Alp lily,(L.) Ker Gawl.,3,y,,,,
Galium californicum ssp. californicum,California bedstraw,Hook. & Arn.,3,y,,,,
Galium grayanum var. nanum,Gray's bedstraw,Ehrend.,3,y,,,,
Galium muricatum,Humboldt bedstraw,W. Wight,3,y,,,,
Galium porrigens var. porrigens,Climbing bedstraw,Dempster,3,y,,,,
Galium serpenticum ssp. warnerense,Warner Mountain bedstraw,Dempster,1,y,,,,
Gentiana newberryi var. newberryi,Newberry's gentian,Gray,2,y,,,,
Gentiana plurisetosa,Bristly gentian,C.T. Mason,1,y,,,,
Gentiana prostrata,Moss gentian,Haenke,2,y,,,,
Gentiana setigera,Waldo gentian,Gray,1,y,,,,
Gentianella propinqua,Four-part gentian,(Richards.) J. Gillett,2,y,,,,
Geum rossii var. turbinatum,Slender-stemmed avens,(R. Br.) Ser.,2,y,,,,
Gilia capitata ssp. chamissonis,Dune gilia,Sims,1,y,,,,
Gilia millefoliata,Seaside gilia,Fisch. & C.A. Mey.,1,y,,,,
Glyptopleura marginata,White-margined waxplant,D.C. Eat.,4,y,,,,
Gratiola heterosepala,Boggs Lake hedge-hyssop,Mason & Bacig.,1,y,,,,
Greeneochloa tweedyi,Tweedy's reedgrass,"(Scribn.) P.M. Peterson, Soreng, Romasch, & Barberá",2,y,,,,
Grindelia nana var. discoidea,Columbia gumplant,Nutt.,3,y,,,,
Hackelia bella,Beautiful stickseed,(J.F. Macbr.) I.M. Johnston,2,y,,,,
Hackelia cronquistii,Cronquist's stickseed,J.L. Gentry,1,y,,,,
Hackelia diffusa var. cottonii,Creamy stickseed,(Lehm.) I.M. Johnston,4,y,,,,
Hackelia diffusa var. diffusa,Diffuse stickseed,(Lehm.) I.M. Johnston,4,y,,,,
Hackelia mundula,Pink stickseed,(Jepson) Ferris,2,y,,,,
Hackelia ophiobia,Three Forks stickseed,R.L. Carr,2,y,,,,
Hackelia patens var. patens,Spreading stickseed,(Nutt.) I.M. Johnston,4,y,,,,
Hastingsia bracteosa var. atropurpurea,Purple flowered rush-lily,S. Wats.,1,y,Hastingsia atropurpurea,n,"Leave as-is, ORBIC name matches ORFlora.",Hastingsia atropurpurea Becking | Plants of the World Online | Kew Science
Hastingsia bracteosa var. bracteosa,Large-flowered rush-lily,S. Wats.,1,y,Hastingsia bracteosa,n,"Leave as-is, ORBIC name matches ORFlora.",
Hazardia whitneyi var. discoidea,Whitney's haplopappus,(Gray) Greene,4,y,,,,
Helenium puberulum,Rosilla,DC.,3,y,,,,
Helianthella californica var. nevadensis,California helianthella,Gray,2-ex,y,,,,
Helianthella quinquenervis,Nodding helianthella,(Hook.) Gray,3,y,,,,
Helianthella uniflora var. uniflora,Rocky Mountain helianthella,(Nutt.) Torr. & Gray,3,no,Helianthella uniflora,n,"iNat does not recognize var. per POWO. ORBIC name left as-is, matches ORFlora.",
Helianthus bolanderi,Bolander's sunflower,Gray,2,y,,,,
Helianthus nuttallii,Nuttall's sunflower,Torr. & Gray,3,y,,,,
Heliotropium curassavicum,Salt heliotrope,L.,2,y,,,,
Hesperevax sparsiflora var. brevifolia,Short-leaved evax,(Gray) Greene,3,y,,,,
Hesperocyparis bakeri,Baker's cypress,(Jeps.) Bartel,2,y,,,,
Heuchera grossulariifolia var. tenuifolia,Thin-leaved alumroot,Rydb.,4,no,Not in iNat,n,"in ORFlora. skip adding to iNat, vars not recognized in all flora",
Heuchera merriamii,Merriam alumroot,Eastw.,4,y,,,,
Hieracium greenei,Greene's hawkweed,Gray,3,y,,,,
Hieracium horridum,Shaggy hawkweed,Fries,2,y,,,,
Hieracium longiberbe,Long-bearded hawkweed,T.J. Howell,4,y,,,,
Hieracium umbellatum,Umbellate hawkweed,L.,2,y,,,,
Hierochloe odorata,Holy grass,(L.) Beauv.,4,y,Anthoxanthum nitens,n,"Leave as-is, ORBIC name matches ORFlora.","Anthoxanthum nitens (sweetgrass, vanilla sweet grass): Go Botany"
Horkelia congesta ssp. congesta,Shaggy horkelia,Dougl. ex Hook.,1,y,,,,
Horkelia daucifolia ssp. daucifolia,Carrotleaf horkelia,(Greene) Rydb.,3,y,,,,
Horkelia hendersonii,Henderson's horkelia,T.J. Howell,1,y,,,,
Horkelia howellii,Howell's horkelia,(Greene) Rydberg,3,y,,,,
Horkelia tridentata ssp. flavescens,Pale horkelia,Torr.,3,y,,,,
Horkelia tridentata ssp. tridentata,Three-toothed horkelia,Torr.,2,y,,,,
Howellia aquatilis,Howellia,Gray,1,y,,,,
Hulsea algida,Alpine hulsea,Gray,4,y,,,,
Huperzia miyoshiana,Pacific fir-moss,(Makino) Ching,2,y,,,,
Huperzia occidentalis,Fir club-moss,(Clute) Kartesz & Gandhi,4,y,,,,
Hydrocotyle verticillata,Whorled marsh pennywort,Thunb.,2,y,,,,
Hymenoxys cooperi var. canescens,Cooper's goldflower,(Gray) Cockerell,2,y,,,,
Iliamna bakeri,Baker's globe-mallow,(Jepson) Wiggins,4,y,,,,
Iliamna latibracteata,California globe-mallow,Wiggins,1,y,,,,
Impatiens ecornuta,Spurless jewelweed,"Gerry Moore, Zika & Rushworth",2,y,,,,
Ipomopsis tenuituba,Rydberg's gilia,(Rydb.) V. Grant,2,y,,,,
Iris tenax var. gormanii,Gorman's iris,Dougl. ex Lindl.,1,y,,,,
Isoetes minima,Midget quillwort,A.A. Eat.,1,y,,,,
Ivesia rhypara var. rhypara,Grimy ivesia,Ertter & Reveal,1,y,,,,
Ivesia rhypara var. shellyi,Shelly's ivesia,Ertter & Reveal,1,y,,,,
Ivesia shockleyi,Shockley's ivesia,S. Wats.,2,y,,,,
Juncus bryoides,Mosslike dwarf rush,F.J. Herm.,2,y,,,,
Juncus capillaris,Hairstemmed rush,F.J. Herm.,2,y,,,,
Juncus hemiendytus var. abjectus,Least rush,F.J. Herm.,2,y,,,,
Juncus interior,Interior rush,Wieg.,2,y,,,,
Juncus kelloggii,Kellogg's dwarf rush,Engelm.,2,y,,,,
Juncus mexicanus,Mexican rush,Willd. ex J.A. & J.H. Schultes,2,y,Juncus balticus mexicanus,n,"Leave as-is, ORBIC name matches ORFlora.",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1012261-2
Juncus tiehmii,Tiehm's rush,Ertter,2,y,,,,
Juncus triglumis var. albescens,Three-flowered rush,L.,2,y,,,,
Juncus uncialis,Inch-high rush,Greene,2,y,,,,
Kalmiopsis fragrans,North Umpqua kalmiopsis,Meinke & Kaye,1,y,,,,
Kalmiopsis leachiana,Kalmiopsis,(Henderson) Rehd.,4,y,,,,
Keckiella lemmonii,Bush beardtongue,(Gray) Straw,2,y,,,,
Kobresia myosuroides,Bellard's kobresia,(Vill.) Fiori,2,y,Carex myosuroides,n,"Leave as-is, ORBIC name matches ORFlora.",Carex myosuroides Vill. | Plants of the World Online | Kew Science
Kobresia simpliciuscula,Simple kobresia,(Wahlenb.) Mackenzie,2,y,Carex simpliciuscula,n,"Leave as-is, ORBIC name matches ORFlora.",Carex simpliciuscula Wahlenb. | Plants of the World Online | Kew Science
Langloisia setosissima ssp. punctata,Punctate langloisa,(Torr. & Gray ex Torr.) Greene,3,y,,,,
Lasthenia ornduffii,Large-flowered goldfields,R. Chan,1,y,,,,
Lathrocasis tenerrima,Delicate gilia,(Gray) L.A. Johnson,3,y,,,,
Lathyrus holochlorus,Thin-leaved peavine,(Piper) C.L. Hitchc.,1,y,,,,
Lathyrus lanszwertii var. tracyi,Tracy's peavine,Kellogg,4,y,,,,
Lathyrus littoralis,Beach peavine,(Nutt.) Endl.,3,y,,,,
Lemna valdiviana,Valdivia duckweed,Phil.,3,y,,,,
Lepidium acutidens,Veiny peppergrass,(Gray) Howell,3,y,,,,
Lepidium davisii,Davis' peppergrass,Rollins,1,y,,,,
Lepidium dictyotum,Alkali peppergrass,Gray,2,y,,,,
Lepidium montanum,Mountain pepperweed,Nutt.,3,y,,,,
Leucothoe davisiae,Sierra laurel,Torr. ex Gray,4,y,,,,
Lewisia columbiana var. columbiana,Columbia lewisia,(T.J. Howell ex Gray) B.L. Robins.,2,y,,,,
Lewisia columbiana var. rupicola,Rosy lewisia,(T.J. Howell ex Gray) B.L. Robins.,2,y,,,,
Lewisia cotyledon var. howellii,Howell's lewisia,(S. Wats.) B.L. Robins.,4,y,,,,
Lewisia leeana,Lee's lewisia,(Porter) B.L. Robins.,2,y,,,,
Lewisia oppositifolia,Opposite-leaved lewisia,(S. Wats.) B.L. Robins.,4,y,,,,
Leymus flavescens,Sand wildrye,(Scribn. & J.G. Sm.) Pilger,2,y,,,,
Ligusticum filicinum,Fern-leaf lovage,S. Wats.,3,y,,,,
Lilium kelloggii,Kellogg's lily,Purdy,2,y,,,,
Lilium occidentale,Western lily,Purdy,1,y,,,,
Limnanthes alba ssp. gracilis,Slender meadow-foam,Hartw. ex Benth.,1,y,,,,
Limnanthes floccosa ssp. bellingeriana,Bellinger's meadow-foam,T.J. Howell,1,y,,,,
Limnanthes pumila ssp. grandiflora,Big-flowered wooly meadow-foam,Howell,1,y,,,,
Limnanthes pumila ssp. pumila,Dwarf wooly meadow-foam,Howell,1,y,,,,
Limonium californicum,Western marsh-rosemary,(Boiss.) Heller,2,y,,,,
Limosella acaulis,Owyhee mudwort,Sesse & Moc.,3,y,,,,
Lipocarpha aristulata,Aristulate lipocarpha,(Coville) G. Tucker,2,no,Not in iNat,n,check back with iNat on this later; their C. subsquarrosus may also include L. aristulata. ORFlora recognizes three Lipocarpha species in Oregon.,
Lipocarpha micrantha,Small-flowered lipocarpha,(Vahl) G. Tucker,2,y,Cyperus subsquarrosus,n,check back with iNat on this later; their C. subsquarrosus may also include L. aristulata. ORFlora recognizes three Lipocarpha species in Oregon.,Cyperus subsquarrosus (Muhl.) Bauters | Plants of the World Online | Kew Science
Lipocarpha occidentalis,Western halfchaff sedge,(Gray) G. Tucker,2,y,Cyperus hemioccidentalis,n,check back with iNat on this later; ORFlora recognizes three Lipocarpha species in Oregon.,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77140477-1
Listera borealis,Northern twayblade,Morong,2,y,Neottia borealis,y,"ORBIC name changed, matches ORFlora",http://www.theplantlist.org/tpl1.1/record/kew-134182
Lobelia dortmanna,Water lobelia,L.,2,y,,,,
Loeflingia squarrosa,Spreading-leaved loeflingia,Nutt.,3,y,,,,
Lomatium bentonitum,Bentonite biscuitroot,K. Carlson & D. Mansfield,1,y,,,,
Lomatium bradshawii,Bradshaw's lomatium,(Rose ex Mathias) Mathias & Constance,1,y,,,,
Lomatium cookii,Agate Desert lomatium,J.S. Kagan,1,y,,,,
Lomatium engelmannii,Engelmann's desert-parsley,Mathias,2,y,,,,
Lomatium erythrocarpum,Red-fruited lomatium,Meinke & Constance,1,y,,,,
Lomatium farinosum var. hambleniae,Hamblen's lomatium,(Hook.) Coult. & Rose,4,y,,,,
Lomatium filicinum,Basalt desert parsley,(M.E. Jones) Mansfield & M. Stevens,1,y,,,,
Lomatium foeniculaceum var. fimbriatum,Fringed desert-parsley,(Nutt.) Coult. & Rose,2,y,,,,
Lomatium greenmanii,Greenman's lomatium,Mathias,1,y,,,,
Lomatium klickitatense,Klickitat biscuitroot,J.A. Alexander & W. Whaley,1,y,,,,
Lomatium laevigatum,Smooth desert parsley,(Nutt.) Coult. & Rose,4,y,,,,
Lomatium ochocense,Ochoco lomatium,Helliwell & Constance ex Helliwell,1,y,,,,
Lomatium packardiae,Packard's lomatium,Cronq.,3,y,,,,
Lomatium pastorale,Meadow lomatium,Darrach & D.H. Wagner,1,y,,,,
Lomatium rollinsii,Rollins' lomatium,Mathias & Constance,4,y,,,,
Lomatium serpentinum,Snake Canyon desert-parsley,(M.E. Jones) Mathias,3,y,,,,
Lomatium suksdorfii,Suksdorf's lomatium,(S. Wats.) Coult. & Rose,1,y,,,,
Lomatium tarantuloides,Spider biscuitroot,Darrach & Hinchliff,1,y,,,,
Lomatium watsonii,Watson's desert-parsley,(Coult. & Rose) Coult. & Rose,2,y,,,,
Lotus stipularis,Stipuled trefoil,(Benth.) Greene,2,y,Hosackia stipularis,y,"ORBIC name changed, matches ORFlora","https://www.calflora.org/app/taxon?crn=5075
http://www.theplantlist.org/tpl1.1/record/ild-14338"
Luina serpentina,Colonial luina,Cronq.,1,y,,,,
Lupinus biddlei,Biddle's lupine,Henderson ex C.P. Sm.,4,skip,Lupinus prunophilus,"n, review?","taxonomic issues; ORBIC kept this name in 2016 review on Severns' suggestion, but could review again. L. prunophilus has a wider distribution than L. biddlei (Harney/Malheur only) so keep of iNaturalist list",Hairy Bigleaf Lupine (Lupinus prunophilus) · iNaturalist
Lupinus breweri var. breweri,Brewer's lupine,Gray,4,y,,,,
Lupinus lepidus var. ashlandensis,Mt. Ashland lupine,Dougl. ex Lindl.,1,y,,,,
Lupinus lepidus var. cusickii,Cusick's lupine,Dougl. ex Lindl.,1,y,,,,
Lupinus nevadensis,Nevada lupine,Heller,2,y,,,,
Lupinus oreganus,Kincaid's lupine,Heller,1,y,,,,
Lupinus tracyi,Tracy's lupine,Eastw.,2,y,,,,
Luzula orestera,Sierra woodrush,C.W. Sharsmith,2,y,,,,
Lycopodiella inundata,Northern bog clubmoss,(L.) Holub,2,y,,,,
Lycopodium annotinum,Stiff clubmoss,L.,4,y,Spinulum annotinum,n,"Leave as-is, ORBIC name matches ORFlora.",Lycopodium annotinum L. | Plants of the World Online | Kew Science
Lysimachia ciliata,Fringed loosestrife,L.,3,y,,,,
Malacothrix glabrata,Smooth malacothrix,(D.C. Eat. ex Gray) Gray,4,y,,,,
Malacothrix sonchoides,Sow-thistle desert-dandelion,(Nutt.) Torr. & Gray,2,y,,,,
Malacothrix stebbinsii,Stebbins desert-dandelion,W.S. Davis & Raven,2,y,,,,
Malacothrix torreyi,Torrey's malacothrix,Gray,4,y,,,,
Marsilea vestita,Hairy water-fern,Hook. & Grev.,3,y,,,,
Matricaria occidentalis,Valley pineapple weed,Greene,3,y,,,,
Meconella oregana,White meconella,Nutt.,1,y,,,,
Melica smithii,Smith's melicgrass,(Porter ex Gray) Vasey,2,y,,,,
Melica stricta,Nodding melicgrass,Boland.,2,y,,,,
Mentzelia congesta,United blazingstar,Nutt. ex Torr. & Gray,2,y,,,,
Mentzelia mollis,Smooth mentzelia,M.E. Peck,1,y,,,,
Mentzelia packardiae,Packard's mentzelia,Glad.,1,y,,,,
Micranthes apetala,Bald headed saxifrage,(Piper) Small,3,y,,,,
Micranthes hitchcockiana,Saddle Mt. saxifrage,(Elvander) Brouillet & Gornall,1,y,,,,
Microseris bigelovii,Coast microseris,(Gray) Schultz-Bip.,2,y,,,,
Microseris douglasii ssp. douglasii,Douglas' microseris,(DC.) Schultz-Bip.,2-ex,y,,,,
Microseris howellii,Howell's microseris,Gray,4,y,,,,
Microseris laciniata ssp. detlingii,Detling's microseris,(Hook.) Schultz-Bip.,4,y,,,,
Mirabilis laevis var. retrorsa,Bigelow's four-o'clock,(Benth.) Curran,2,y,,,,
Mirabilis macfarlanei,Macfarlane's four-o'clock,Constance & Rollins,1,y,,,,
Monardella angustifolia,Narrow-leaved monardella,"Elvin, Ertter & Mansfield",1,y,,,,
Monardella purpurea,Siskiyou monardella,T.J. Howell,2,y,,,,
Montia howellii,Howell's montia,S. Wats.,4,y,,,,
Muhlenbergia andina,Foxtail muhly,(Nutt.) A.S. Hitchc.,3,y,,,,
Muhlenbergia minutissima,Annual dropseed,(Steud.) Swallen,2,y,,,,
Munroa squarrosa,False buffalograss,(Nutt.) Torr.,3,y,,,,
Myosurus sessilis,Sessile mousetail,S. Wats.,1,y,,,,
Myrica gale,Sweet gale,L.,3,y,,,,
Myriophyllum sibiricum,Common water-milfoil,Komarov,4,y,,,,
Myriophyllum ussuriense,Russian water-milfoil,(Regel) Maxim.,3,y,,,,
Najas guadalupensis,Common water-nymph,(Spreng.) Magnus,3,y,,,,
Nama densum var. parviflorum,Compact fiddleleaf,J.G. Lemmon,3,y,Nama parviflora,y,"ORBIC name changed, matches ORFlora",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:167041-2#synonyms
Navarretia atractyloides,Hollyleaf navarretia,(Benth.) Hook. & Arn.,3,y,,,,
Navarretia heterandra,Tehama navarretia,Mason,4,y,,,,
Navarretia leptalea ssp. leptalea,Bridges' gilia,(Gray) L.A. Johnson,3,y,,,,
Navarretia leucocephala ssp. leucocephala,White-flowered navarretia,Benth.,4,y,,,,
Navarretia sinistra ssp. sinistra,Alva Day's gilia,(M.E. Jones) L.A. Johnson,4,y,Navarretia sinistra,y,"ORBIC name changed, matches ORFlora",Navarretia sinistra Calflora
Navarretia willamettensis,Willamette navarretia,Spencer,1,y,,,,
Nemacladus capillaris,Slender nemacladus,Greene,2,y,,,,
Nephrophyllidium crista-galli,Deer-cabbage,(Menzies ex Hook.) Gilg,3,y,,,,
Nicotiana quadrivalvis,Indian tobacco,Pursh,2,y,,,,
Noccaea fendleri ssp. siskiyouense,Siskiyou Mountain pennycress,(A. Gray) Holub,4,y,Noccaea fendleri siskiyouensis,y,"ORBIC name changed, matches ORFlora","Noccaea fendleri subsp. siskiyouensis in Flora of North America @ efloras.org
https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77061326-1#synonyms"
Oenothera wolfii,Wolf's evening-primrose,"(Munz) Raven, W. Dietr. & Stubbe",1,y,,,,
Ophioglossum pusillum,Adder's-tongue,Raf.,2,y,,,,
Opuntia fragilis,Brittle prickly-pear,(Nutt.) Haw.,2,y,,,,
Orobanche californica ssp. californica,California broom-rape,Cham. & Schlecht.,3,y,Aphyllon californicum californicum,y,"ORBIC name changed, matches ORFlora",Aphyllon californicum ssp. californicum Calflora
Orobanche californica ssp. grayana,Gray's broomrape,Cham. & Schlecht.,3,y,Aphyllon californicum grayanum,y,Homotypic synonyms,Orobanche californica subsp. grayana (Beck) Heckard | Plants of the World Online | Kew Science
Oxytheca dendroidea,Tree-lined oxytheca,Nutt.,3,y,,,,
Oxytropis sericea var. sericea,White locoweed,Nutt.,2,y,,,,
Packera flettii,Flett's groundsel,(Wieg.) W.A. Weber & A. Love,2,y,,,,
Packera hesperia,Western senecio,(Greene) W.A. Weber & A. Love,4,y,,,,
Packera porteri,Porter's butterweed,Greene (C. Jeffrey),2-ex,y,,,,
Pappostipa speciosa,Desert needlegrass,(Trin. & Rupr.) Romaschenko,2,y,,,,
Pedicularis howellii,Howell's lousewort,Gray,4,y,,,,
Pedicularis semibarbata,Pinewoods pedicularis,Gray,2,y,,,,
Pediocactus nigrispinus,Snowball cactus,(Hochstätter) Hochstätter,4,y,,,,
Pellaea andromedifolia,Coffee fern,(Kaulfuss) Fee,2,y,,,,
Pellaea bridgesii,Bridges' cliff-brake,Hook.,2,y,,,,
Pellaea mucronata ssp. californica,California bird's-foot cliffbrake,(D.C. Eat.) D.C. Eat.,2,y,,,,
