ELEMENT_SUBNATIONAL_ID,ELCODE,Category,SNAME,SCOMNAME,LIST,TRACK,added to project,iNaturalist name if different,notes/issues,References
7104,AMAJB01020,Mammal,Ursus arctos,Grizzly bear,2-ex,Y,y,,"iNat uses Ursus arctos horribilis for Grizzly Bears, and Ursus arctos for Brown Bears. According to NatureServe, U. arctos horribilis is an invalid subspecies. I added Ursus arctos and am checking with Lindsey whether having it at the species level also pulls in subspecies",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102187/Ursus_arctos
7101,AMAJA03040,Mammal,Vulpes macrotis,Kit fox,2,Y,y,,,
429584,AMAJA03014,Mammal,Vulpes vulpes macroura,Rocky Mountain red fox,4,,y,,,
13066,AMAJA03012,Mammal,Vulpes vulpes necator,Sierra Nevada red fox,1,Y,y,,,
7146,ARAAD02031,Reptile,Actinemys marmorata,Western pond turtle,2,Y,y,,,
7145,ARAAD01010,Reptile,Chrysemys picta,Painted turtle,2,Y,y,,,
11430,ARADE02140,Reptile,Crotalus oreganus,Western rattlesnake,4,W,y,,,
365281,ARADB19110,Reptile,Lampropeltis californiae,California kingsnake,4,W,y,,,
7167,ARADB19060,Reptile,Lampropeltis zonata,California mountain kingsnake,4,W,y,,,
366210,ARADB29010,Reptile,Rhinocheilus lecontei,Long-nosed snake,2,Y,y,,,
7155,ARACF14032,Reptile,Sceloporus graciosus graciosus,Northern sagebrush lizard,4,W,y,,,
7170,ARADB32011,Reptile,Sonora semiannulata,Ground snake,4,W,y,,,
