ELEMENT_SUBNATIONAL_ID,ELCODE,Category,SNAME,SCOMNAME,LIST,TRACK,added to project,iNaturalist name if different,notes/issues,References
6576,ABNYF12020,Bird,Dryocopus pileatus,Pileated Woodpecker,4,W,y,,,
6339,ABNGA06030,Bird,Egretta thula,Snowy Egret,2,Y,y,,,
6392,ABNKC06010,Bird,Elanus leucurus,White-tailed Kite,4,W,y,,,
6582,ABPAE33044,Bird,Empidonax traillii adastus,Great Basin Willow Flycatcher,4,W,y,,,
6581,ABPAE33041,Bird,Empidonax traillii brewsteri,Little Willow Flycatcher,4,W,y,,,
6598,ABPAT0201L,Bird,Eremophila alpestris strigata,Streaked Horned Lark,1,Y,y,,,
6415,ABNLC09010,Bird,Falcipennis canadensis,Spruce Grouse,3,Y,y,Canachites canadensis,Changed due to genetic evidence that inclusion in Falcipennis creates a paraphyletic group,"Kimball et al. 2011, Persons et al. 2016, Kimball et al. 2021"
6408,ABNKD06071,Bird,Falco peregrinus anatum,American Peregrine Falcon,4,Y,y,,,
12968,ABNKD06074,Bird,Falco peregrinus tundrius,Arctic Peregrine Falcon,2,Y,y,,,
6523,ABNNN12010,Bird,Fratercula cirrhata,Tufted Puffin,2,Y,y,,,
6390,ABNKA03010,Bird,Gymnogyps californianus,California Condor,1-ex,Y,y,,,
6612,ABPAV07010,Bird,Gymnorhinus cyanocephalus,Pinyon Jay,2,Y,y,,,
6446,ABNNC01020,Bird,Haematopus bachmani,Black Oystercatcher,4,W,y,,,
6393,ABNKC10010,Bird,Haliaeetus leucocephalus,Bald Eagle,4,W,y,,,
6447,ABNND01010,Bird,Himantopus mexicanus,Black-necked Stilt,4,W,y,,,
6377,ABNJB15010,Bird,Histrionicus histrionicus,Harlequin Duck,2,Y,y,,,
6507,ABNNM08020,Bird,Hydroprogne caspia,Caspian Tern,4,W,y,,,
6701,ABPBX24010,Bird,Icteria virens,Yellow-breasted Chat,4,W,y,,,
6660,ABPBR01030,Bird,Lanius ludovicianus,Loggerhead Shrike,4,W,y,,,
6491,ABNNM03020,Bird,Leucophaeus pipixcan,Franklin's Gull,2,Y,y,,,
6757,ABPBY02010,Bird,Leucosticte atrata,Black Rosy-Finch,2,Y,y,,,
6759,ABPBY02031,Bird,Leucosticte tephrocotis wallowa,Wallowa Rosy-Finch,1,Y,y,,,
6565,ABNYF04050,Bird,Melanerpes formicivorus,Acorn Woodpecker,4,W,y,,,
6564,ABNYF04010,Bird,Melanerpes lewis,Lewis's Woodpecker,2,Y,y,,,
6458,ABNNF07070,Bird,Numenius americanus,Long-billed Curlew,3,Y,y,,,
6325,ABNDC04010,Bird,Oceanodroma furcata,Fork-tailed Storm-Petrel,2,Y,y,Hydrobates furcatus,"The genus Oceanodroma has been merged with Hydrobates, given that Oceanodroma is paraphyletic with respect to Hydrobates. Hydrobates has the priority","Chesser, Burns, Cicero et. al. 2019 (https://a100.gov.bc.ca/pub/eswp/speciesSummary.do;jsessionid=NpkYYwZL4LwDxn1FlhDb0YfhRGkn7pScHRdG8y2zWrTZ527GWvQT!1951556897?id=18682#:~:text=The%20genus%20Oceanodroma%20has%20been,2019).)"
6326,ABNDC04130,Bird,Oceanodroma leucorhoa,Leach's Storm-Petrel,4,W,y,Hydrobates leucorhous,"The genus Oceanodroma has been merged with Hydrobates, given that Oceanodroma is paraphyletic with respect to Hydrobates. Hydrobates has the priority","https://academic.oup.com/auk/article/136/3/ukz042/5522257
https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.971608/Hydrobates_leucorhous"
6427,ABNLC24010,Bird,Oreortyx pictus,Mountain Quail,4,W,y,,,
6651,ABPBK04010,Bird,Oreoscoptes montanus,Sage Thrasher,4,W,y,,,
6693,ABPBX10020,Bird,Parkesia noveboracensis,Northern Waterthrush,2,Y,y,,,
6526,ABNPB01080,Bird,Patagioenas fasciata,Band-tailed Pigeon,4,W,y,,,
6327,ABNFC01010,Bird,Pelecanus erythrorhynchos,American White Pelican,2,Y,y,,,
6329,ABNFC01021,Bird,Pelecanus occidentalis californicus,California Brown Pelican,2,Y,y,,,
6332,ABNFD01050,Bird,Phalacrocorax pelagicus,Pelagic Cormorant,4,W,y,Urile pelagicus,"the nomenclature of Phalacrocorax (cormorants and shags), and the sequence of genera and species, are revised, following Kennedy and Spencer (2014) and Kennedy et al. (2019). Phalacrocorax is partitioned into six genera",AOS-NACC (Chesser et al. 2021)
6574,ABNYF07090,Bird,Picoides arcticus,Black-backed Woodpecker,4,W,y,,,
6573,ABNYF07110,Bird,Picoides dorsalis,American Three-toed Woodpecker,4,W,y,,,
